Questions,A,B,C,D,Correct Option
"E,H,K,N,Q,T,?",W,X,Y,Z,A
"2B,4C,8E,14H,?",16K,20I,20L,22L,D
In a certain code TEACHER is written as VGCEJGT. How  is CHILDREN written in that code?,EJKNEGTP,EGKNFITP,EJKNFGTO,EJKNFTGP,D
"Statements:
Some pastries are toffees. All toffees are chocolates.
Concusion:
1. Some chocolates are toffees.
2.  Some toffees are not pastries.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",A
"7,12,19,28, ?",39,38,40,41,A
"A,Y,W,U,S,Q,?",I,K,M,O,D
choose the odd pair of words,Painter:Gallery,Actor:Stage,Mason:Wall,Farmer:Field,C
Book,Fiction,Pages,Pictures,Learning,B
"Statements:
All chairs are tables. All desk are tables.
Conclusions:
1. Some desk are chairs.
2. No desk is chair",Only 1 follows,Only 2 follows,Either 1 or 2 follows,Neither 1 or 2 follows,C
"Rizwan and Kashif are good in Hockey and volleyball. Saed and Rizwan are good in Hockey and Baseball.
Gafoor and Kashif are good in Cricket and Volleyball. Saeed, Gafoor and Muneeb are good in Football
and Baseball.
Who is good in Hockey, Cricket and Volleyball ?",Saeed,Kashif,Rizwan,Ghafoor,B
"O,R,M,T,K,V,I,?",W,X,Y,Z,B
"If DRIVER=12, PEDESTRAIN=20, ACCIDENT=16,  then CAR=?",3,6,8,10,B
Swimming,Pool,Water,Life Jacket,Bathing Suit,B
"In certain code, STOVE is writen as FNBLK, then how will VOTES be written in same code.",FLKBN,LBNKF,LKNBF,LNBKF,B
Which word doesnot belongs with others?,Cornea,Retina,Pupil,Vision,D
"Statements:
Some desks are caps. No cap is red.
Conclusions:
1. Some caps are desks.
2. No desk is red.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",A
"2,5,9,?,20,27",14,16,18,24,A
"CDEF, DFHJ, EHKN, FJNR, ?",GLRW,GLOX,GLQV,HPQW,C
"In certain code, 24685 is written as 33776. How is 35791 written in the same code?",44826,44882,46682,44682,B
"Fact1: Jawaria has 4 children.
Fact2: Two of the children have blue eyes and two of the children have brown eyes.
Fact3: Half of the children are girls.
If the first three statements are facts, which of the following must also be a fact.
1. Atleast one girl ha blue eyes.
2. Two of the children are boys.
3. The boys have brown eyes.",1 Only,2 Only,2 and 3 only,None is fact,B
"B,C,E,G,K,?",L,N,M,O,C
"Statements:
All flowers are trees. No fruit is tree.
Conclusion:
1. No fruit is flower.
2. Some trees are flowers.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",C
Which word doesnot belong with others?,Heading,Body,Letter,Closing,C
Bonus,Reward,Raise,Cash,Employer,A
Paw : Cat :: Hoof : ?,Lamb,Horse,Lion,Cat,B
"180,140,179,138,177,134,?",120,174,128,175,B
"WFB, TGD, QHG, ?",NIJ,NIK,NJK,OIK,B
"If NARGRUED is the code for GRANDEUR, what is the code for SERPEVRE",PERSEVER,PRESEVER,PREVERSE,PRESERVE,D
"Statements:
All branches are flowers. All flowers are leaves.
Conclusion:
1. All branches are leaves.
2. All leaves are branches.
3. All flowers are branches.
4. Some leaves are branches.",Only 1 and 3,only 1 and 4,only 2 and 3,only 2 and 4,B
"Fact1: Ali has 4 vehicles.
Fact2: Two of the vehicles are red.
Fact3: One of the Vehicle is minivan.
If the first three statements are facts then which of the following must also be a fact?
1. Ali has red minivan.
2. Ali has three cars.
3. Ali's favourite color is red.",1 Only,2 Only,2 and 3 Only,None of them is a fact,D
"F,I,M,P,T,W,?",A,Z,C,B,A
"Statements:
No bat is ball. No ball is wicket.
Conclusion:
1. No bat is wicket.
2. All wickets are bats.",Only 1,Only 2,Both 1 and 2,"1 and 2
inappropriate",D
"2,-1,2,-1,2,?",2,-1,5,4,B
"If REASON is coded as 5 and BELIEVED as 7, then what is code for GOVERNMENT?",6,8,9,10,B
Knowledge,School,Teacher,Textbook,Learning,D
Curd : Milk :: Shoe : ?,Leather,Cloth,Jute,Silver,A
